place,Total_Time,Swim_Time,Bike_Time,Run_Time
562,38036.0,4073.0000000000005,19442.0,14112.0
563,38040.0,4224.0,19776.0,13560.0
564,38048.0,4602.0,19710.0,13348.0
565,38049.0,4294.0,20404.0,12866.0
566,38050.0,3776.0000000000005,19236.0,14579.0
567,38051.0,4130.0,19349.0,14242.0
568,38051.0,3811.0000000000005,19690.0,13971.0
569,38052.0,4286.0,19149.0,14167.0
570,38059.0,3592.0,19308.0,14661.000000000002
571,38063.0,4096.0,19881.0,13768.0
572,38069.0,4154.0,19998.0,13218.0
573,38075.0,4509.0,18778.0,14452.0
574,38076.0,4794.0,19588.0,13302.0
575,38079.0,4338.0,19131.0,14200.0
576,38086.0,4485.0,20675.0,12437.0
577,38089.0,4812.0,19976.0,12987.0
578,38090.0,4948.0,18863.0,13873.0
579,38093.0,3795.0000000000005,19987.0,13982.0
580,38106.0,4411.0,20332.0,12936.0
581,38106.0,4709.0,20575.0,12454.0
582,38107.0,4143.0,18725.0,14952.000000000002
583,38107.0,4605.0,20175.0,13052.0
584,38108.0,4140.0,19774.0,13891.0
585,38121.0,4363.0,19861.0,13444.0
586,38133.0,4308.0,19842.0,13443.0
587,38137.0,4319.0,19469.0,14032.0
588,38141.0,3406.0,19813.0,14489.0
589,38144.0,3645.0,18322.0,15692.000000000002
590,38162.0,4189.0,20460.0,13173.0
591,38165.0,4376.0,18441.0,14990.000000000002
592,38168.0,3970.0000000000005,19200.0,14608.000000000002
593,38169.0,3259.0,19501.0,15113.000000000002
594,38175.0,4403.0,19942.0,13441.0
595,38176.0,3824.0000000000005,19723.0,13994.0
596,38180.0,4084.0000000000005,18126.0,15585.000000000002
597,38182.0,4245.0,18679.0,14897.000000000002
598,38184.0,3776.0000000000005,19638.0,14322.0
599,38188.0,3530.0,18679.0,15648.000000000002
600,38192.0,4135.0,19908.0,13799.0
601,38205.0,4188.0,20808.0,12807.0
602,38209.0,4153.0,19795.0,13796.0
603,38220.0,4143.0,19965.0,13637.0
604,38224.0,3866.0000000000005,19290.0,14702.000000000002
605,38236.0,4796.0,19431.0,13457.0
606,38239.0,4692.0,19803.0,13376.0
607,38246.0,3473.0,20743.0,13532.0
608,38254.0,4199.0,19798.0,13926.0
609,38261.0,3974.0000000000005,19476.0,14367.0
610,38263.0,3897.0000000000005,19872.0,14116.0
611,38263.0,5472.0,19325.0,12682.0
612,38269.0,4282.0,19249.0,14273.0
613,38278.0,4834.0,18219.0,14894.000000000002
614,38283.0,4237.0,20406.0,13162.0
615,38286.0,4119.0,19438.0,14302.0
616,38290.0,4250.0,19538.0,14168.0
617,38306.0,3962.0000000000005,20697.0,13360.0
618,38311.0,3874.0000000000005,18818.0,15302.000000000002
619,38313.0,3961.0000000000005,20792.0,13025.0
620,38315.0,4081.0000000000005,19143.0,14740.000000000002
621,38319.0,3576.0,19337.0,15074.000000000002
622,38325.0,4211.0,19516.0,14162.0
623,38328.0,4886.0,20667.0,12236.0
624,38330.0,4269.0,18896.0,14826.000000000002
